cibil_score,applicant_income,coapplicant_income,loan_amount,loan_tenure_months,existing_debts,credit_card_utilization,delinquent_lines_2yrs,credit_history_years,employment_status,education,home_ownership,loan_purpose,loan_status
605,466800.0,0.0,1500000.0,240,160800.0,0.61,0,10.5,Salaried,Post Graduate,RENT,Home,0
580,487200.0,372000.0,380000.0,60,68400.0,0.07,1,4.4,Salaried,Graduate,MORTGAGE,Education,0
755,378000.0,546000.0,1218000.0,36,31200.0,0.31,0,9.3,Salaried,Graduate,RENT,Vehicle,1
511,538800.0,0.0,729000.0,84,211200.0,0.19,0,6.1,Salaried,Professional,MORTGAGE,Education,0
779,734400.0,0.0,693000.0,60,154800.0,0.21,1,8.0,Salaried,Post Graduate,OWN,Education,1
742,1659600.0,0.0,6007000.0,300,380400.0,0.1,1,6.8,Salaried,Post Graduate,RENT,Home,0
532,648000.0,0.0,1500000.0,240,121200.0,0.74,0,5.2,Self-Employed,Graduate,OWN,Home,0
812,678000.0,0.0,622000.0,84,123600.0,0.14,1,4.3,Business,Graduate,RENT,Education,1
763,565200.0,325200.0,1993000.0,120,176400.0,0.28,0,2.8,Salaried,Graduate,MORTGAGE,Home,1
820,216000.0,345600.0,493000.0,48,74400.0,0.12,0,7.4,Salaried,Post Graduate,OWN,Personal,1
788,579600.0,0.0,626000.0,84,206400.0,0.2,0,7.2,Salaried,Graduate,OWN,Education,1
600,608400.0,1017600.0,3900000.0,240,144000.0,0.49,0,6.9,Salaried,Graduate,MORTGAGE,Home,1
673,2280000.0,280800.0,754000.0,24,720000.0,0.51,0,12.1,Self-Employed,Post Graduate,RENT,Personal,1
590,529200.0,0.0,453000.0,48,184800.0,0.3,0,10.3,Salaried,Graduate,OWN,Vehicle,0
724,694800.0,0.0,553000.0,36,213600.0,0.14,0,8.1,Business,Graduate,RENT,Business,1
771,577200.0,0.0,335000.0,60,50400.0,0.11,0,2.4,Business,Professional,RENT,Education,1
813,309600.0,360000.0,2883000.0,120,99600.0,0.38,0,12.7,Salaried,Post Graduate,RENT,Home,0
704,1102800.0,0.0,1509000.0,12,321600.0,0.54,0,4.9,Salaried,Post Graduate,OWN,Personal,0
706,889200.0,230400.0,683000.0,60,38400.0,0.52,1,10.8,Salaried,Graduate,MORTGAGE,Vehicle,1
781,908400.0,0.0,858000.0,84,264000.0,0.63,0,1.5,Salaried,Graduate,OWN,Vehicle,1
738,356400.0,0.0,381000.0,36,140400.0,0.22,0,5.6,Salaried,Graduate,RENT,Personal,0
628,1272000.0,0.0,2341000.0,60,236400.0,0.5,3,4.5,Salaried,Graduate,RENT,Business,0
794,272400.0,0.0,388000.0,48,16800.0,0.19,4,12.0,Salaried,Post Graduate,RENT,Personal,0
534,812400.0,538800.0,1743000.0,180,223200.0,0.48,1,14.2,Salaried,Graduate,MORTGAGE,Home,0
572,1962000.0,230400.0,1509000.0,60,211200.0,0.21,0,2.5,Business,Professional,RENT,Personal,1
678,340800.0,0.0,188000.0,24,84000.0,0.66,0,16.2,Salaried,Professional,OWN,Business,0
692,430800.0,699600.0,1019000.0,48,129600.0,0.15,0,0.5,Self-Employed,Graduate,RENT,Personal,1
767,621600.0,778800.0,7186000.0,240,142800.0,0.62,0,9.4,Unemployed,Post Graduate,RENT,Home,0
647,446400.0,0.0,274000.0,60,62400.0,0.22,0,1.7,Self-Employed,Professional,RENT,Education,1
746,250800.0,404400.0,782000.0,36,97200.0,0.42,0,5.8,Salaried,Post Graduate,RENT,Personal,0
489,610800.0,0.0,469000.0,24,37200.0,0.69,0,11.9,Business,Graduate,MORTGAGE,Personal,0
602,327600.0,252000.0,642000.0,60,6000.0,0.42,0,1.6,Salaried,Graduate,MORTGAGE,Personal,1
556,763200.0,0.0,3653000.0,120,284400.0,0.08,0,4.5,Salaried,Graduate,RENT,Home,0
644,355200.0,631200.0,1500000.0,240,6000.0,0.4,2,6.8,Salaried,Graduate,RENT,Home,0
683,1380000.0,0.0,1133000.0,60,302400.0,0.47,1,9.5,Salaried,Graduate,OWN,Vehicle,1
735,382800.0,303600.0,391000.0,24,92400.0,0.35,1,12.9,Business,Graduate,OWN,Personal,1
835,493200.0,462000.0,886000.0,36,75600.0,0.12,0,12.4,Salaried,Professional,OWN,Vehicle,1
652,920400.0,0.0,570000.0,36,114000.0,0.25,0,0.5,Salaried,Undergraduate,RENT,Business,1
658,298800.0,0.0,200000.0,60,99600.0,0.51,0,0.9,Business,Post Graduate,OWN,Education,0
604,667200.0,0.0,883000.0,48,110400.0,0.22,0,8.8,Salaried,Graduate,RENT,Vehicle,0
835,1207200.0,126000.0,1457000.0,12,67200.0,0.26,2,6.7,Self-Employed,Graduate,RENT,Business,0
719,242400.0,0.0,488000.0,60,50400.0,0.5,0,5.8,Salaried,Graduate,RENT,Business,0
789,651600.0,165600.0,1500000.0,180,212400.0,0.59,0,0.5,Self-Employed,Post Graduate,MORTGAGE,Home,1
521,679200.0,0.0,232000.0,48,93600.0,0.17,0,4.4,Salaried,Graduate,OWN,Personal,0
561,904800.0,0.0,1792000.0,60,54000.0,0.71,0,9.7,Salaried,Post Graduate,OWN,Business,0
622,297600.0,0.0,495000.0,60,45600.0,0.36,0,4.2,Salaried,Post Graduate,OWN,Education,0
820,284400.0,0.0,198000.0,48,69600.0,0.28,1,4.1,Business,Professional,OWN,Personal,1
644,783600.0,428400.0,2301000.0,24,36000.0,0.58,0,6.4,Salaried,Graduate,RENT,Business,0
773,692400.0,216000.0,3110000.0,240,73200.0,0.07,3,13.5,Salaried,Post Graduate,MORTGAGE,Home,0
753,675600.0,0.0,692000.0,24,295200.0,0.64,0,7.1,Unemployed,Post Graduate,OWN,Personal,0
734,711600.0,0.0,255000.0,48,64800.0,0.37,0,8.9,Self-Employed,Graduate,MORTGAGE,Personal,1
508,404400.0,0.0,251000.0,36,12000.0,0.47,1,8.3,Salaried,Graduate,OWN,Personal,0
755,668400.0,210000.0,1812000.0,300,129600.0,0.24,0,0.5,Salaried,Graduate,OWN,Home,1
563,691200.0,0.0,3472000.0,180,22800.0,0.62,0,2.9,Self-Employed,Post Graduate,RENT,Home,0
813,397200.0,219600.0,3030000.0,300,2400.0,0.53,1,12.2,Business,Undergraduate,OWN,Home,1
506,1641600.0,441600.0,4526000.0,180,12000.0,0.56,0,5.6,Self-Employed,Graduate,MORTGAGE,Home,0
553,763200.0,0.0,618000.0,36,102000.0,0.35,0,6.8,Salaried,Graduate,OWN,Vehicle,0
687,306000.0,331200.0,309000.0,12,9600.0,0.64,0,5.6,Salaried,Graduate,RENT,Personal,1
791,843600.0,0.0,671000.0,60,73200.0,0.44,0,6.1,Salaried,Graduate,OWN,Business,1
669,344400.0,0.0,216000.0,48,100800.0,0.57,0,0.5,Salaried,Professional,MORTGAGE,Vehicle,0
711,907200.0,0.0,1067000.0,60,117600.0,0.28,2,14.1,Salaried,Graduate,MORTGAGE,Vehicle,1
601,1112400.0,0.0,3894000.0,300,288000.0,0.15,0,11.1,Salaried,Post Graduate,OWN,Home,0
579,374400.0,0.0,499000.0,24,69600.0,0.09,0,11.9,Self-Employed,Professional,RENT,Business,0
719,999600.0,0.0,1414000.0,36,398400.0,0.75,0,8.9,Salaried,Graduate,OWN,Personal,0
531,738000.0,0.0,907000.0,12,231600.0,0.6,1,8.2,Salaried,Graduate,MORTGAGE,Personal,0
760,924000.0,0.0,381000.0,60,354000.0,0.47,0,3.7,Salaried,Post Graduate,RENT,Education,1
731,1669200.0,266400.0,1495000.0,36,390000.0,0.22,0,5.6,Self-Employed,Graduate,OWN,Vehicle,1
797,513600.0,616800.0,925000.0,36,180000.0,0.29,4,1.7,Salaried,Post Graduate,RENT,Personal,0
562,388800.0,0.0,1587000.0,240,108000.0,0.36,0,10.3,Business,Professional,OWN,Home,0
670,361200.0,0.0,1500000.0,180,121200.0,0.52,0,12.0,Business,Professional,OWN,Home,0
828,375600.0,0.0,1500000.0,180,115200.0,0.51,0,8.3,Salaried,Professional,RENT,Home,0
732,564000.0,249600.0,4368000.0,240,76800.0,0.3,0,7.5,Self-Employed,Graduate,RENT,Home,0
602,709200.0,392400.0,1764000.0,36,39600.0,0.33,0,7.3,Self-Employed,Graduate,RENT,Business,0
755,685200.0,0.0,763000.0,36,248400.0,0.67,0,12.0,Salaried,Professional,OWN,Business,0
776,927600.0,0.0,238000.0,24,32400.0,0.22,0,4.7,Salaried,Professional,OWN,Business,1
682,592800.0,0.0,2552000.0,180,162000.0,0.12,0,5.0,Salaried,Graduate,OWN,Home,0
678,1308000.0,0.0,832000.0,60,582000.0,0.69,0,6.4,Salaried,Graduate,MORTGAGE,Personal,0
652,508800.0,186000.0,1500000.0,240,42000.0,0.31,0,3.6,Self-Employed,Undergraduate,MORTGAGE,Home,1
588,2625600.0,584400.0,1179000.0,48,878400.0,0.63,0,5.2,Salaried,Post Graduate,RENT,Vehicle,0
569,830400.0,0.0,418000.0,36,356400.0,0.48,0,8.2,Salaried,Post Graduate,OWN,Personal,0
499,367200.0,0.0,200000.0,60,81600.0,0.28,0,7.8,Business,Graduate,RENT,Vehicle,0
525,326400.0,0.0,263000.0,48,84000.0,0.43,2,9.1,Salaried,Graduate,RENT,Vehicle,0
757,766800.0,0.0,882000.0,12,127200.0,0.39,0,1.3,Salaried,Undergraduate,RENT,Business,0
711,520800.0,418800.0,163000.0,36,103200.0,0.25,1,5.6,Business,Graduate,MORTGAGE,Personal,1
759,871200.0,0.0,904000.0,84,247200.0,0.32,0,2.9,Business,Professional,RENT,Vehicle,1
731,763200.0,0.0,2069000.0,180,298800.0,0.13,1,8.5,Salaried,Graduate,OWN,Home,0
679,565200.0,0.0,804000.0,48,242400.0,0.3,0,6.4,Salaried,Graduate,OWN,Personal,0
675,369600.0,519600.0,891000.0,24,90000.0,0.37,0,3.4,Salaried,Graduate,OWN,Personal,0
810,255600.0,310800.0,574000.0,24,90000.0,0.53,0,5.8,Business,Post Graduate,OWN,Personal,0
770,459600.0,0.0,274000.0,48,152400.0,0.39,1,4.1,Salaried,Graduate,RENT,Personal,1
669,942000.0,0.0,1346000.0,36,104400.0,0.62,0,2.9,Salaried,Undergraduate,OWN,Personal,0
828,661200.0,0.0,1213000.0,24,138000.0,0.09,0,12.2,Salaried,Post Graduate,OWN,Business,0
613,296400.0,706800.0,687000.0,36,91200.0,0.37,1,8.5,Unemployed,Graduate,OWN,Personal,0
832,646800.0,0.0,252000.0,36,37200.0,0.59,1,2.3,Self-Employed,Undergraduate,RENT,Education,1
784,727200.0,0.0,265000.0,24,289200.0,0.28,1,7.0,Self-Employed,Graduate,OWN,Business,0
648,361200.0,0.0,1500000.0,240,66000.0,0.2,0,12.0,Business,Post Graduate,RENT,Home,0
541,639600.0,273600.0,178000.0,24,130800.0,0.22,0,7.3,Self-Employed,Graduate,OWN,Personal,0
831,607200.0,0.0,2105000.0,300,237600.0,0.31,1,4.3,Salaried,Graduate,RENT,Home,0
652,313200.0,0.0,325000.0,36,24000.0,0.27,0,0.5,Salaried,Graduate,OWN,Personal,0
543,716400.0,255600.0,499000.0,48,12000.0,0.34,1,0.5,Self-Employed,Graduate,RENT,Personal,0
650,800400.0,141600.0,2199000.0,300,103200.0,0.34,0,7.5,Business,Undergraduate,RENT,Home,1
751,1066800.0,354000.0,4565000.0,180,72000.0,0.28,0,4.1,Salaried,Post Graduate,RENT,Home,1
763,1050000.0,187200.0,538000.0,36,465600.0,0.46,2,6.3,Salaried,Professional,RENT,Vehicle,0
844,276000.0,0.0,1500000.0,300,70800.0,0.42,4,2.5,Salaried,Post Graduate,OWN,Home,0
850,351600.0,0.0,368000.0,60,88800.0,0.5,0,8.6,Salaried,Graduate,OWN,Education,1
823,781200.0,276000.0,1300000.0,48,279600.0,0.62,0,9.3,Salaried,Graduate,MORTGAGE,Personal,1
584,780000.0,0.0,1055000.0,12,91200.0,0.77,0,8.8,Salaried,Graduate,RENT,Personal,0
714,781200.0,561600.0,4659000.0,300,183600.0,0.39,3,4.5,Salaried,Undergraduate,OWN,Home,0
722,4200000.0,410400.0,2591000.0,36,268800.0,0.47,0,7.9,Business,Post Graduate,MORTGAGE,Business,1
578,805200.0,0.0,472000.0,120,33600.0,0.69,0,8.7,Self-Employed,Graduate,MORTGAGE,Education,0
737,1098000.0,0.0,1070000.0,48,217200.0,0.52,0,7.3,Salaried,Graduate,RENT,Vehicle,1
684,993600.0,318000.0,3820000.0,180,408000.0,0.55,0,3.9,Self-Employed,Graduate,RENT,Home,0
797,841200.0,220800.0,1316000.0,60,166800.0,0.56,0,3.8,Salaried,Graduate,OWN,Vehicle,1
476,494400.0,544800.0,1363000.0,48,100800.0,0.4,0,0.5,Salaried,Post Graduate,RENT,Personal,0
759,892800.0,0.0,3659000.0,180,348000.0,0.49,0,8.3,Salaried,Graduate,OWN,Home,0
623,384000.0,0.0,1500000.0,240,49200.0,0.06,0,7.5,Business,Graduate,RENT,Home,0
592,516000.0,0.0,2186000.0,240,114000.0,0.33,0,3.8,Self-Employed,Post Graduate,OWN,Home,0
674,450000.0,0.0,131000.0,36,33600.0,0.35,0,4.4,Self-Employed,Post Graduate,RENT,Business,1
675,615600.0,0.0,435000.0,120,234000.0,0.28,0,9.0,Salaried,Undergraduate,OWN,Education,1
679,2101200.0,193200.0,2000000.0,36,34800.0,0.16,0,8.3,Business,Undergraduate,MORTGAGE,Personal,1
812,216000.0,476400.0,477000.0,36,39600.0,0.23,2,4.7,Salaried,Graduate,RENT,Business,1
743,858000.0,567600.0,366000.0,48,106800.0,0.61,0,7.8,Self-Employed,Graduate,RENT,Personal,1
675,242400.0,0.0,305000.0,36,27600.0,0.28,1,5.0,Self-Employed,Graduate,MORTGAGE,Personal,0
632,453600.0,0.0,624000.0,36,50400.0,0.83,0,12.7,Self-Employed,Undergraduate,OWN,Business,0
686,1070400.0,114000.0,3400000.0,240,177600.0,0.16,2,0.6,Salaried,Graduate,RENT,Home,0
677,609600.0,0.0,247000.0,60,247200.0,0.55,0,13.1,Salaried,Post Graduate,OWN,Education,1
761,325200.0,0.0,114000.0,36,103200.0,0.36,0,8.6,Salaried,Graduate,OWN,Personal,1
691,397200.0,0.0,672000.0,36,158400.0,0.51,0,2.6,Salaried,Graduate,RENT,Business,0
768,854400.0,140400.0,1693000.0,36,75600.0,0.64,0,12.2,Salaried,Graduate,RENT,Education,0
539,393600.0,252000.0,1500000.0,180,150000.0,0.18,1,9.3,Business,Graduate,MORTGAGE,Home,0
732,662400.0,0.0,566000.0,60,128400.0,0.32,0,12.5,Unemployed,Graduate,OWN,Vehicle,0
724,603600.0,328800.0,766000.0,24,266400.0,0.17,0,8.0,Salaried,Post Graduate,RENT,Business,0
694,411600.0,0.0,2170000.0,240,110400.0,0.47,0,0.5,Salaried,Post Graduate,RENT,Home,0
762,1912800.0,0.0,6537000.0,240,420000.0,0.37,0,11.6,Salaried,Post Graduate,MORTGAGE,Home,1
713,834000.0,344400.0,785000.0,60,346800.0,0.26,1,5.9,Salaried,Graduate,RENT,Vehicle,0
754,216000.0,704400.0,2560000.0,180,37200.0,0.43,0,4.8,Salaried,Graduate,OWN,Home,1
709,651600.0,441600.0,1613000.0,36,219600.0,0.49,0,5.9,Self-Employed,Post Graduate,RENT,Business,0
805,409200.0,448800.0,1164000.0,24,87600.0,0.37,0,12.3,Salaried,Graduate,MORTGAGE,Personal,0
752,939600.0,638400.0,2434000.0,180,309600.0,0.37,1,8.8,Salaried,Professional,MORTGAGE,Home,1
693,380400.0,294000.0,359000.0,48,46800.0,0.38,1,11.3,Salaried,Undergraduate,MORTGAGE,Vehicle,1
641,552000.0,189600.0,2840000.0,240,100800.0,0.26,0,11.3,Salaried,Graduate,RENT,Home,0
576,776400.0,652800.0,1877000.0,60,121200.0,0.05,0,5.5,Salaried,Post Graduate,RENT,Personal,0
620,946800.0,381600.0,4812000.0,240,369600.0,0.23,0,3.0,Salaried,Graduate,OWN,Home,0
798,303600.0,382800.0,1178000.0,12,127200.0,0.43,0,13.7,Business,Graduate,MORTGAGE,Business,0
695,489600.0,0.0,1500000.0,240,162000.0,0.26,0,5.3,Unemployed,Post Graduate,RENT,Home,0
810,453600.0,261600.0,1004000.0,48,168000.0,0.28,0,3.1,Salaried,Graduate,RENT,Personal,0
543,410400.0,0.0,398000.0,48,64800.0,0.48,0,6.4,Salaried,Graduate,RENT,Vehicle,0
672,1552800.0,0.0,851000.0,48,105600.0,0.13,0,3.7,Salaried,Graduate,OWN,Vehicle,1
